category,sound,x,y
CatPurring,4,1.1533506228832244,0.4920819216616071
CatPurring,5,-0.31186517831607635,0.04543104962741143
CatPurring,6,-1.0591283849805582,0.9665575456407529
CatPurring,7,-0.04865622837849007,-1.1126143603491403
CatPurring,8,0.47040787891858465,1.4161901092895235
CatPurring,9,-1.438177090412136,-0.9170701922037474
CatPurring,10,0.02201804744780099,0.39248749095068247
ChildrenPlaying,1,0.8421555079728456,0.053480324048413054
ChildrenPlaying,2,0.19914184644675892,0.9683604138173124
ChildrenPlaying,3,1.3817279722653697,-1.833970708054119
ChildrenPlaying,4,0.8273542060898939,-0.6991437969541014
ChildrenPlaying,5,-1.823510344160155,-0.4671335060276624
ChildrenPlaying,6,-0.5015237522646151,0.7740268514413731
ChildrenPlaying,7,0.8339730150545199,1.5831532230319514
ChildrenPlaying,8,-0.3900964685166565,-0.47391442452843013
ChildrenPlaying,9,-0.6295942445765123,-0.7470181499147062
ChildrenPlaying,10,-0.7396277383183092,0.8421597731611332
CocktailParty,1,1.6609906534112708,-0.1415299010976669
CocktailParty,2,1.476844200161082,1.1210364160251853
CocktailParty,3,1.0766322479148014,-1.7201354312465194
CocktailParty,4,0.5806653182492962,-0.4755784645276842
CocktailParty,5,-1.2478158946146733,-0.9233086741409848
CocktailParty,6,-1.4244987660714257,1.873328603258565
CocktailParty,7,0.41653247084818434,1.552002289665434
CocktailParty,8,-1.8395542145135673,-0.09279065794950812
CocktailParty,9,0.02932264147276747,-1.7274264375079782
CocktailParty,10,-0.7291186568958505,0.5344022575362598
CoughingAdultFemale,1,0.84365363679429,0.12523300022003508
CoughingAdultFemale,2,-0.09194488434817993,0.9935917133345008
CoughingAdultFemale,3,0.9797579038123194,-1.6342560943403748
CoughingAdultFemale,4,1.315287466871773,-0.753607134557845
CoughingAdultFemale,5,-0.4562838083499105,-0.9722259766327443
CoughingAdultFemale,6,-0.6852031966447842,1.4752032789971885
CoughingAdultFemale,7,1.3396834205900847,0.7911097180415119
CoughingAdultFemale,8,-1.9307781144042317,-0.4347909471530561
CoughingAdultFemale,9,-0.11324428347011493,-0.7532276452877142
CoughingAdultFemale,10,-1.2009281408244705,1.1629700873612292
CoughingAdultMale,1,1.0381952432220605,0.6669089789969065
CoughingAdultMale,2,0.7927576187946099,0.09470427725810834
CoughingAdultMale,3,1.0344255015510435,-2.0247683228943574
CoughingAdultMale,4,1.3862294440774496,-1.2508386659506985
